-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,4,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,-1,-1,35,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,2,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,8,-1,13,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,25,-1,-1,-1,2,-1,-1,-1,-1,2,3,3,3,4,-1,-1,12,27,28,14,-1,-1,35,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,35,2,33,11,-1,-1,-1,2,3,3,3,4,-1,-1,-1,33,34,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4,-1,-1,35,-1,-1,-1,-1,-1
-1,-1,-1,-1,24,25,26,26,26,26,27,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1,24,-1,11,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,35,33,34,34,34,34,35,-1,2,-1,-1,-1,-1,-1,25,26,26,26,27,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,33,34,34,34,34,35,-1,-1,-1,-1,-1,-1,-1,33,34,34,34,35,-1,14,-1,15,-1,-1,-1,-1,-1
-1,-1,-1,-1,2,33,34,34,34,34,35,35,-1,-1,-1,-1,-1,-1,33,34,34,34,35,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,11,33,34,34,34,34,35,-1,-1,-1,-1,-1,-1,-1,33,34,34,34,35,25,-1,-1,-1,-1,-1,-1,-1,-1
